annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2013,1,TOTAL FRUITS (HORS VANILLE),414152.0,276024.0,58753065.0,212.85491479001826,87.60343315386477,,,,,
2014,3,TOTAL FRUITS (HORS VANILLE),203204.0,132037.0,33767726.0,255.744420124662,88.61288022950481,,,,,
2014,12,TOTAL FRUITS (HORS VANILLE),627680.0,261662.0,80284161.0,306.8239217005144,97.93896589847759,,,,,
2014,8,TOTAL FRUITS (HORS VANILLE),269402.0,156790.0,45805006.0,292.14239428534984,104.31204221184673,,,,,
2015,5,TOTAL FRUITS (HORS VANILLE),276398.0,147887.0,36824723.0,249.0058152508334,96.65832408609846,,,,,
2015,3,TOTAL FRUITS (HORS VANILLE),278830.0,172450.0,42637663.0,247.2465236300377,91.1590974799998,,,,,
2015,10,TOTAL FRUITS (HORS VANILLE),384114.0,184828.0,49915263.0,270.0633183283918,108.76415580664714,,,,,
2016,8,TOTAL FRUITS (HORS VANILLE),211657.0,107122.0,31191446.0,291.1768450925113,123.25800784792635,,,,,
2016,7,TOTAL FRUITS (HORS VANILLE),187175.0,116132.0,32858297.0,282.9392157200427,122.88134849134424,,,,,
2016,12,TOTAL FRUITS (HORS VANILLE),560470.0,235105.0,65460570.0,278.4312115863125,108.91481954928,,,,,
2016,11,TOTAL FRUITS (HORS VANILLE),509989.0,89530.0,25528523.0,285.1393164302468,105.08796048640585,,,,,
2016,6,TOTAL FRUITS (HORS VANILLE),184817.0,104222.0,26717790.0,256.35460843200093,105.06536092501092,,,,,
