,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,VARIETE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_LONG,COND_UNITE_LIBELLE_COURT,GENCOD,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,RIDET,TYPE_ADRESSE,NUM_VOIE,TYPE_VOIE,NOM_VOIE,COMPLEMENT_ADRESSE,QUARTIER,CODE_POSTAL,COMMUNE,LONGITUDE,LATITUDE
3426,135617,sauce pimentée Tabasco bouteille 57 ml,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,sauce exotique,sauce exotique : autres,IMPORT,Sec,McIlhenny,0.057,Litre,l,5000134001602,395,2017-02-06 00:00:00.000,0,N,,CARREFOUR EXPRESS OUEMO,832956006.0,PHYSIQUE,97 ter,route,de Ouémo,,Ouémo,,Nouméa,166.477842,-22.27614
3427,55298,omaï Wewe mangue séchée rouge paquet 100 g,épicerie sucrée,"chocolat, confiserie",confiserie,bonbon,bonbon : chinois,IMPORT,Sec,Wewe,0.1,Kilogramme,kg,29173341093; 2067919510004,140,2017-03-17 00:00:00.000,0,,,GEANT SAINTE-MARIE,73999002.0,PHYSIQUE,7,rue,Henri Schmitd,,Vallée des Colons,,Nouméa,166.458795,-22.275366
3428,161081,confiserie chocolatée Maltesers sachet 37 g,épicerie sucrée,"chocolat, confiserie",chocolat,confiserie au chocolat,bille chocolatée,IMPORT,Sec,,0.037,Kilogramme,kg,5000159020312; 5000159024471; 5000159316323; 5000159379540,198,2018-01-15 00:00:00.000,0,N,,CARREFOUR MARKET MAGENTA,474460008.0,PHYSIQUE,50,rue,du 18 juin,,Magenta,,Nouméa,166.463054,-22.27166
3429,55298,omaï Wewe mangue séchée rouge paquet 100 g,épicerie sucrée,"chocolat, confiserie",confiserie,bonbon,bonbon : chinois,IMPORT,Sec,Wewe,0.1,Kilogramme,kg,29173341093; 2067919510004,152,2018-02-19 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,832956004.0,PHYSIQUE,,route,de Nakutakoin - baie de nouré,,Baie des Citrons,,Dumbéa,166.415695,-22.173535
3430,180661,beurre demi-sel Président la motte aux cristaux de sel beurrier 250 g,crémerie,"beurre, margarine",beurre,beurre,beurre demi-sel,IMPORT,Frais,Président,0.25,Kilogramme,kg,3155250367094,570,2018-02-19 00:00:00.000,0,N,,SUPER U KOUMAC,314948001.0,PHYSIQUE,1,avenue,Emile FROUIN,,,,Koumac,164.285,-20.558
3431,180661,beurre demi-sel Président la motte aux cristaux de sel beurrier 250 g,crémerie,"beurre, margarine",beurre,beurre,beurre demi-sel,IMPORT,Frais,Président,0.25,Kilogramme,kg,3155250367094,550,2019-06-03 00:00:00.000,0,N,A,CARREFOUR EXPRESS OUEMO,832956006.0,PHYSIQUE,97 ter,route,de Ouémo,,Ouémo,,Nouméa,166.477842,-22.27614
3432,46382,ketchup Heinz bouteille 340 g,épicerie salée,"assaisonnement, condiment, aide culinaire",condiment et sauce,condiment,ketchup,IMPORT,Sec,,0.34,Kilogramme,kg,87157116; 87157635; 93657761,135,2019-09-25 00:00:00.000,0,N,A,KONE DISCOUNT,710921001.0,PHYSIQUE,,route,territoriale 1,,,,Koné,164.8615869,-21.061713
3433,138059,fromage Boursin ail & fines herbes boîte 150 g,crémerie,fromage,fromage,fromage : à tartiner,fromage : à tartiner,IMPORT,Frais,Boursin,0.12,Kilogramme,kg,3175460000017; 3073781074987; 79813000118; 079813000118,350,2019-11-26 00:00:00.000,0,N,A,POINDIMIE DISCOUNT,631614001.0,PHYSIQUE,,route,territoriale 3,,,,Poindimié,165.333178,-20.937187
3434,211813,plat cuisiné Bjorg veggie chili con seitan bio sachet 220 g,épicerie salée,plat cuisiné individuel,plat cuisiné individuel,plat cuisiné individuel,plat cuisiné individuel,IMPORT,Sec,Bjorg,0.22,Kilogramme,kg,3229820796581,485,2020-05-27 00:00:00.000,0,N,A,CARREFOUR MARKET Orphelinat,474460009.0,PHYSIQUE,5,rue,Gustave Flaubert,,Orphelinat,,Nouméa,166.445296,-22.283924
3435,180661,beurre demi-sel Président la motte aux cristaux de sel beurrier 250 g,crémerie,"beurre, margarine",beurre,beurre,beurre demi-sel,IMPORT,Frais,Président,0.25,Kilogramme,kg,3155250367094,743,2020-05-19 00:00:00.000,0,N,A,LA COTE,391987001.0,PHYSIQUE,,village,,,,,Poindimié,165.333038,-20.936545
3436,161081,confiserie chocolatée Maltesers sachet 37 g,épicerie sucrée,"chocolat, confiserie",chocolat,confiserie au chocolat,bille chocolatée,IMPORT,Sec,,0.037,Kilogramme,kg,5000159020312; 5000159024471; 5000159316323; 5000159379540,135,2020-10-20 00:00:00.000,0,N,A,DISCOUNT TRIANON,85993001.0,PHYSIQUE,27,route,de l'Anse-Vata,,Trianon,,Nouméa,166.449044,-22.28273
3437,160386,pois cassé Jardin Bio paysanne sachet 250 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,conserve de légume sec : autres,IMPORT,Sec,Jardin Bio',0.25,Kilogramme,kg,3760020508562,430,2020-12-07 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE NOUMEA ,836965001.0,PHYSIQUE,91,route,de l'Anse-Vata,,Motor Pool,,Nouméa,166.448155,-22.291739
3438,211959,printanière Cassegrain petit pois/carotte/champignon/pdt conserve 265 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,"conserve de légume : macédoine, jardinière",IMPORT,Sec,Cassegrain,0.265,Kilogramme,kg,3083680709132,345,2021-02-04 00:00:00.000,0,N,A,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),474460002.0,PHYSIQUE,21-23,rue,de l'Alma,,Centre-Ville,,Nouméa,166.439959,-22.269194
3439,180661,beurre demi-sel Président la motte aux cristaux de sel beurrier 250 g,crémerie,"beurre, margarine",beurre,beurre,beurre demi-sel,IMPORT,Frais,Président,0.25,Kilogramme,kg,3155250367094,550,2022-09-06 00:00:00.000,0,N,A,GEANT SAINTE-MARIE,73999002.0,PHYSIQUE,7,rue,Henri Schmitd,,Vallée des Colons,,Nouméa,166.458795,-22.275366
3440,45704,soda au cola Coca-Cola light boîte 33 cl,boisson,boisson sans alcool,soda,soda au cola,soda au cola,LOCAL,Sec,Coca Cola,0.33,Litre,l,3348630009411,85,2013-10-07 00:00:00.000,0,N,,CARREFOUR KENU IN,208595002.0,PHYSIQUE,,rue,Centre commercial Kenu-In,,Centre-Ville,,Dumbéa,166.473018,-22.222647
