annee,mois,regroupement1,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,besoin_marche_t,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2012,5,PAPAYE,TOTAL FRUITS (HORS VANILLE),13015.0,6649.0,922705.0,138.77349977440215,15.0,,,,
2012,6,PAPAYE,TOTAL FRUITS (HORS VANILLE),15540.0,8730.0,1004465.0,115.05899198167239,15.0,,,,
2012,8,BROCOLI,TOTAL LEGUMES,,313.0,106940.0,341.66134185303514,5.0,,,,
2012,12,CAROTTE,TOTAL LEGUMES,7801.0,44790.5,10701220.0,238.91718109867048,110.0,,,,
2012,12,OIGNONS,TOTAL LEGUMES,31000.0,94798.0,17418820.0,183.74670351695184,150.0,,,,
2012,8,OIGNONS,TOTAL LEGUMES,,15645.0,3911250.0,250.0,150.0,,,,
2012,10,POIREAU,TOTAL LEGUMES,6823.0,3988.080078,2054948.0,515.2725020081706,7.0,,,,
2012,11,POIREAU,TOTAL LEGUMES,5577.0,1457.0,801955.0,550.4152367879204,7.0,,,,
2012,7,POIREAU,TOTAL LEGUMES,3778.0,24.64999962,15837.5,642.4949389106725,7.0,,,,
2012,9,SALADES,TOTAL LEGUMES,157548.0,38179.0,7590305.0,198.80837633253884,120.0,,,,
2012,3,SALADES,TOTAL LEGUMES,90539.0,29776.80078,15519725.0,521.2018952158231,120.0,,,,
2012,4,SALADES,TOTAL LEGUMES,71556.0,19646.0,12927000.0,657.9965387356204,120.0,,,,
2012,7,TANGELO,TOTAL FRUITS (HORS VANILLE),9850.0,5220.0,1335630.0,255.867816091954,1.0,,,,
2012,6,TANGELO,TOTAL FRUITS (HORS VANILLE),3890.0,2785.0,733250.0,263.2854578096948,1.0,,,,
2012,5,TANGELO,TOTAL FRUITS (HORS VANILLE),,1264.0,270630.0,214.10601265822785,1.0,,,,
2012,3,TOMATES,TOTAL LEGUMES,49993.0,15987.2001948,6458550.0,403.9825561264135,140.0,,,,
2012,9,TOMATES,TOTAL LEGUMES,138766.0,29438.9004512,11765540.0,399.65962789620454,140.0,,,,
2012,4,PASTEQUE,TOTAL FRUITS (HORS VANILLE),7600.0,21215.5,3558130.0,167.71369988923192,80.0,,,,
2012,3,PASTEQUE,TOTAL FRUITS (HORS VANILLE),19960.0,50749.5,8210685.0,161.78849052700028,80.0,,,,
2012,11,PASTEQUE,TOTAL FRUITS (HORS VANILLE),75377.0,67903.0,8686330.0,127.92262492084296,80.0,,,,
2012,5,PASTEQUE,TOTAL FRUITS (HORS VANILLE),32150.0,38122.0,6116220.0,160.43806725775144,80.0,,,,
2012,2,PASTEQUE,TOTAL FRUITS (HORS VANILLE),28959.0,22593.5,3146370.0,139.2599641489809,80.0,,,,
2012,7,PASTEQUE,TOTAL FRUITS (HORS VANILLE),,15307.0,2532330.0,165.43607499836676,80.0,,,,
2012,8,POIVRONS,TOTAL LEGUMES,20690.0,8794.600097999999,4376650.0,497.65196270781024,10.0,,,,
2012,10,POIVRONS,TOTAL LEGUMES,28580.0,12032.200195000001,5730851.0,476.2928564288237,10.0,,,,
2012,12,POIVRONS,TOTAL LEGUMES,22715.0,8404.25,3596898.25,427.9856322693875,10.0,,,,
2012,11,POIVRONS,TOTAL LEGUMES,14703.0,11905.299804999999,5249750.75,440.95913886983385,10.0,,,,
2012,3,POIVRONS,TOTAL LEGUMES,6630.0,3643.0,1855350.0,509.29179247872634,10.0,,,,
2012,11,AUBERGINE,TOTAL LEGUMES,12740.0,12150.700195,1520910.0,125.1705642960274,13.0,,,,
2012,6,AUBERGINE,TOTAL LEGUMES,8370.0,7258.899902,2447891.0,337.22616829659654,13.0,,,,
2012,10,AUBERGINE,TOTAL LEGUMES,15350.0,11804.5,2194945.0,185.94137828794103,13.0,,,,
2012,1,AUBERGINE,TOTAL LEGUMES,18360.0,12979.0,2545816.0,196.1488558440558,13.0,,,,
2012,4,AUBERGINE,TOTAL LEGUMES,6975.0,4035.600098,1205460.0,298.70650478906794,13.0,,,,
2012,3,CONCOMBRE,TOTAL LEGUMES,101864.0,83313.0,12227620.0,146.76725120929507,75.0,,,,
2012,11,CONCOMBRE,TOTAL LEGUMES,56526.0,83212.16016,9775329.0,117.4747654814397,75.0,,,,
2012,9,CONCOMBRE,TOTAL LEGUMES,53435.0,56255.0,9374925.0,166.6505199537819,75.0,,,,
2012,10,CONCOMBRE,TOTAL LEGUMES,59632.0,72344.0,9130730.0,126.21267831471857,75.0,,,,
2012,7,COURGETTE,TOTAL LEGUMES,35042.0,23241.90039,8614686.0,370.65325362578926,30.0,,,,
2012,4,MAIS DOUX,TOTAL LEGUMES,2805.0,1092.0,150900.0,138.1868131868132,,,,,
2012,3,MAIS DOUX,TOTAL LEGUMES,1548.0,196.0,29500.0,150.51020408163265,,,,,
2012,3,MANDARINE,TOTAL FRUITS (HORS VANILLE),,64.0,22720.0,355.0,40.0,,,,
2012,4,MANDARINE,TOTAL FRUITS (HORS VANILLE),2520.0,1273.0,411050.0,322.8986645718775,40.0,,,,
2012,1,MANDARINE,TOTAL FRUITS (HORS VANILLE),,96.0,35280.0,367.5,40.0,,,,
2012,11,CHOU FLEUR,TOTAL LEGUMES,,50.0,17500.0,350.0,8.0,,,,
2012,7,CHOU FLEUR,TOTAL LEGUMES,7700.0,2537.0,844642.0,332.92944422546316,8.0,,,,
2012,10,CHOU ROUGE,TOTAL LEGUMES,,4112.700195,991040.0,240.97064045778322,5.0,,,,
2012,9,CHOU ROUGE,TOTAL LEGUMES,,5360.5,1383800.0,258.1475608618599,5.0,,,,
2012,12,CHOU ROUGE,TOTAL LEGUMES,,3636.5,901160.0,247.8097071359824,5.0,,,,
2012,7,CHOU ROUGE,TOTAL LEGUMES,,180.0,45000.0,250.0,5.0,,,,
2012,11,CHOUCHOUTE,TOTAL LEGUMES,4490.0,10390.90039,1115006.0,107.30600411424018,6.0,,,,
