,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
613,180980,jus de fruits Jardin Bio citron de silice bouteille 50 cl,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,IMPORT,Sec,,0.5,l,850,2022-08-17 00:00:00.000,0,N,A,CARREFOUR MARKET DUCOS,PHYSIQUE,Ducos,Nouméa,,
614,138232,marmelade orange Val De Vézère bocal 450 g,épicerie sucrée,"confiture, pâte à tartiner, miel","gelée, marmelade",marmelade,IMPORT,Sec,,0.45,kg,240,2014-11-17 00:00:00.000,0,N,,MAGECO KOUMAC (Fermé),PHYSIQUE,,Koumac,164.282156,-20.560039
615,42944,lait en poudre entier Nestlé Sunshine soft pack 800 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,"lait concentré, en poudre",IMPORT,Sec,Sunshine,0.8,kg,880,2015-01-19 00:00:00.000,0,N,,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
616,133575,nouille chinoise Aline sachet 400 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte asiatique,IMPORT,Sec,,0.4,kg,140,2017-03-20 00:00:00.000,0,N,,ARIZONA ROBINSON,PHYSIQUE,Robinson,Mont-Dore,166.512649,-22.224863
617,46044,biscuit Kraft oreo double delight paquet 137 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit fourré, nappé","biscuit fourré, nappé",IMPORT,Sec,Kraft,0.137,kg,131,2017-09-25 00:00:00.000,0,,,AUCHAN SUPERMARCHE NOUMEA ,PHYSIQUE,Motor Pool,Nouméa,166.448155,-22.291739
618,136216,nectar de fruits Joker multifruits bouteille 2 l,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,IMPORT,Sec,Joker,2.0,l,527,2019-06-25 00:00:00.000,0,N,A,MAGECO KOUMAC (Fermé),PHYSIQUE,,Koumac,164.282156,-20.560039
619,42944,lait en poudre entier Nestlé Sunshine soft pack 800 g,épicerie sucrée,"sucre, farine, aide à la pâtisserie",aide à la pâtisserie,"lait concentré, en poudre",IMPORT,Sec,Sunshine,0.8,kg,615,2020-01-07 00:00:00.000,0,N,A,DISCOUNT PLUS,PHYSIQUE,,Bourail,165.5,-21.57
620,198463,jus de fruits Mogu Mogu litchi/coco bouteille 33 cl,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,IMPORT,Frais,,0.33,l,175,2020-08-18 00:00:00.000,0,O,A,POINDIMIE DISCOUNT,PHYSIQUE,,Poindimié,165.333178,-20.937187
621,151561,sardine Founty à la tomate conserve 125 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,IMPORT,Sec,Founty,0.125,kg,90,2021-01-04 00:00:00.000,0,N,A,AUCHAN SUPERMARCHE TONTOUTA,PHYSIQUE,Tontouta,Païta,166.223,-22.012
622,155068,poivre noir Ducros steak moulin 35 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",poivre,IMPORT,Sec,Ducros,0.035,kg,470,2021-04-14 00:00:00.000,0,N,A,CARREFOUR MARKET ROBINSON,PHYSIQUE,Centre-Ville,Mont-Dore,166.507959,-22.224536
