dt,AverageTemperature,Year,Month,Days delta,Season,MA,Season offset
1922-04-01,10.608,1922.25,4,4473,1,13.106333333333334,-2.498333333333333
1922-05-01,16.613,1922.3333333333333,5,4503,1,13.19975,3.4132499999999997
1922-06-01,17.803,1922.4166666666667,6,4534,2,13.175833333333332,4.627166666666669
1922-07-01,18.135,1922.5,7,4564,2,12.928916666666666,5.206083333333336
1922-08-01,18.572,1922.5833333333333,8,4595,2,12.888416666666666,5.683583333333333
1922-09-01,15.203,1922.6666666666667,9,4626,3,12.658166666666666,2.544833333333333
1922-10-01,11.757,1922.75,10,4656,3,12.33825,-0.5812500000000007
1922-11-01,8.642000000000001,1922.8333333333333,11,4687,3,12.380833333333333,-3.738833333333332
1922-12-01,7.266,1922.9166666666667,12,4717,0,12.370833333333335,-5.104833333333335
1923-01-01,6.524,1923.0,1,4748,0,12.369750000000002,-5.845750000000002
1923-02-01,8.922,1923.0833333333333,2,4779,0,12.468083333333334,-3.5460833333333337
1923-03-01,10.189,1923.1666666666667,3,4807,1,12.5195,-2.3305000000000007
1923-04-01,11.456,1923.25,4,4838,1,12.590166666666667,-1.1341666666666672
1923-05-01,14.385,1923.3333333333333,5,4868,1,12.4045,1.9804999999999993
1923-06-01,15.597,1923.4166666666667,6,4899,2,12.220666666666666,3.376333333333333
1923-07-01,20.725,1923.5,7,4929,2,12.4365,8.2885
1923-08-01,19.792,1923.5833333333333,8,4960,2,12.538166666666669,7.253833333333333
1923-09-01,16.445,1923.6666666666667,9,4991,3,12.641666666666667,3.803333333333333
1923-10-01,14.379,1923.75,10,5021,3,12.860166666666666,1.5188333333333333
1923-11-01,8.686,1923.8333333333333,11,5052,3,12.863833333333334,-4.177833333333334
1923-12-01,6.867999999999999,1923.9166666666667,12,5082,0,12.830666666666666,-5.962666666666666
1924-01-01,6.652,1924.0,1,5113,0,12.841333333333331,-6.189333333333331
1924-02-01,5.539,1924.0833333333333,2,5144,0,12.559416666666666,-7.020416666666666
1924-03-01,9.434,1924.1666666666667,3,5173,1,12.4965,-3.0625
1924-04-01,11.787,1924.25,4,5204,1,12.524083333333335,-0.7370833333333344
1924-05-01,16.154,1924.3333333333333,5,5234,1,12.6715,3.4825
1924-06-01,17.502,1924.4166666666667,6,5265,2,12.830250000000001,4.671749999999998
1924-07-01,19.135,1924.5,7,5295,2,12.69775,6.437250000000002
1924-08-01,17.320999999999998,1924.5833333333333,8,5326,2,12.491833333333334,4.829166666666664
1924-09-01,16.615000000000002,1924.6666666666667,9,5357,3,12.506,4.109000000000002
1924-10-01,13.501,1924.75,10,5387,3,12.432833333333333,1.0681666666666665
1924-11-01,10.09,1924.8333333333333,11,5418,3,12.549833333333332,-2.459833333333332
1924-12-01,7.442,1924.9166666666667,12,5448,0,12.597666666666667,-5.155666666666667
1925-01-01,7.617000000000001,1925.0,1,5479,0,12.678083333333333,-5.0610833333333325
1925-02-01,8.318,1925.0833333333333,2,5510,0,12.909666666666666,-4.591666666666667
1925-03-01,7.403,1925.1666666666667,3,5538,1,12.740416666666667,-5.337416666666667
1925-04-01,11.550999999999998,1925.25,4,5569,1,12.72075,-1.1697500000000023
1925-05-01,14.816,1925.3333333333333,5,5599,1,12.609250000000001,2.2067499999999995
1925-06-01,18.055,1925.4166666666667,6,5630,2,12.655333333333333,5.399666666666667
1925-07-01,18.999,1925.5,7,5660,2,12.643999999999998,6.355
1925-08-01,18.656,1925.5833333333333,8,5691,2,12.755249999999998,5.90075
1925-09-01,15.081,1925.6666666666667,9,5722,3,12.627416666666667,2.4535833333333326
1925-10-01,13.683,1925.75,10,5752,3,12.642583333333334,1.0404166666666654
1925-11-01,8.235999999999999,1925.8333333333333,11,5783,3,12.488083333333334,-4.252083333333335
1925-12-01,7.109,1925.9166666666667,12,5813,0,12.460333333333333,-5.351333333333333
1926-01-01,7.13,1926.0,1,5844,0,12.41975,-5.289750000000001
